20251208,30500.0,31250.0,31300.0,30300.0,18056,11.37
20251209,29900.0,30400.0,30500.0,29650.0,30077,11.29
20251210,29700.0,29900.0,30200.0,29500.0,20819,11.21
20251211,30500.0,29700.0,30800.0,29550.0,36059,11.31
20251212,30800.0,30350.0,31000.0,30200.0,18742,11.38
20251215,30500.0,30700.0,30800.0,30350.0,16477,11.42
20251216,29800.0,30500.0,30500.0,29800.0,22960,11.33
20251217,30000.0,30000.0,30650.0,29800.0,21188,11.38
20251218,29700.0,29950.0,29950.0,29350.0,22087,11.31
20251219,29250.0,30000.0,30000.0,29050.0,31091,11.24
20251222,29400.0,29550.0,29750.0,29250.0,21318,11.3
20251223,29450.0,29700.0,29700.0,29000.0,23359,11.49
20251224,29200.0,29450.0,29450.0,28800.0,25048,11.45
20251226,29000.0,29450.0,29450.0,28800.0,30219,11.42
20251229,28700.0,28950.0,28950.0,28650.0,22486,11.37
20251230,28800.0,28750.0,29000.0,28550.0,24755,11.27
20260102,28550.0,28750.0,28800.0,28350.0,24044,11.14
20260105,28350.0,28750.0,28850.0,28300.0,15896,11.14
