종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"351330","이삭엔지니어링","KOSDAQ","벤처기업부","8490","-200","-2.30","8690","8800","8310","62831","534422755","70203764400","8288520"
"080010","이상네트웍스","KOSDAQ","중견기업부","7150","-20","-0.28","7180","7180","7070","8892","63468620","70517459070","9835071"
"379390","이성씨엔아이","KONEX","일반기업부","5690","0","0.00","0","0","0","0","0","16167907400","2841460"
"457190","이수스페셜티케미컬","KOSPI",,"62100","6000","10.70","58000","62900","57900","895854","54851960500","1878955016000","30208280"
"086890","이수앱지스","KOSDAQ","우량기업부","5310","0","0.00","5310","5360","5240","148343","783943230","215713503320","40547651"
"007660","이수페타시스","KOSPI",,"116900","-4600","-3.79","125100","125100","115200","1696263","200288966550","8581537701100","73409219"
"005950","이수화학","KOSPI",,"8420","240","2.93","8250","8720","8230","341261","2897843040","221659844670","26294169"
"015020","이스타코","KOSPI",,"593","-7","-1.17","595","605","588","58767","34788486","25368147200","42851600"
"047560","이스트소프트","KOSDAQ","중견기업부","17300","-450","-2.54","17750","18000","17290","78755","1376723625","202971073600","11732432"
"900110","이스트아시아홀딩스","KOSDAQ","외국기업(소속부없음)","1188","16","1.37","1193","1198","1145","248173","294965202","31176077198","26286743"
"239340","이스트에이드","KOSDAQ","중견기업부","1606","6","0.38","1600","1610","1590","23224","37249901","43329292204","26979634"
"067010","이씨에스","KOSDAQ","벤처기업부","2415","-5","-0.21","2430","2440","2400","7750","18737957","29567070000","12294000"
"341310","이앤에치","KONEX","일반기업부","250","0","0.00","0","0","0","0","0","4323350000","17293400"
"456070","이엔셀","KOSDAQ","기술성장기업부","17310","-190","-1.09","17240","17710","16160","439183","7508012095","189005380050","10918855"
"102710","이엔에프테크놀로지","KOSDAQ","우량기업부","49500","50","0.10","51100","51700","48850","140050","6981927500","707247882000","14287836"
"074610","이엔플러스","KOSPI",,"5110","0","0.00","0","0","0","0","0","37494481920","7337472"
"041520","이엘씨","KOSDAQ","중견기업부","7270","80","1.11","7270","7280","7190","18323","132732890","88612067100","12188730"
"063760","이엘피","KOSDAQ","벤처기업부","2480","15","0.61","2465","2485","2440","22897","56496000","23079696750","9325130"
"123570","이엠넷","KOSDAQ","중견기업부","1937","2","0.10","1935","1945","1926","15093","29192863","43171039164","22276078"
"083470","이엠앤아이","KOSDAQ","벤처기업부","794","-8","-1.00","802","811","791","53853","42923007","17050922871","21340329"
"095190","이엠코리아","KOSDAQ","중견기업부","2235","85","3.95","2155","2250","2150","409749","906573301","145857132570","65260462"
"091120","이엠텍","KOSDAQ","중견기업부","8240","130","1.60","8100","8460","7735","158508","1268294090","141689380720","17132936"
"232530","이엠티","KONEX","일반기업부","4555","30","0.66","4700","4700","4500","3647","16710050","117825798400","25614304"
